Filename,Mean,HM,Median,Median_Group,Median_High,Median_Low,Mode,Std.Pop,Std,Variance_P,Variance,Min,Max,Range,Q1,Q2,Q3,IQR,85thPercentile,Skewness,Kurtosis, Jerk_Min, Jerk_Max, Jerk_Mean, Snap_Min, Snap_Max, Snap_Mean,Rating
74,87.47,87.32088,86.6,86.6,86.6,86.6,86.8,3.644119,3.690542,13.2796,13.6201,81.8,94.4,12.6,85.25,86.6,90.25,5,92.3,0.495467,-0.68307,0,0,0,0,0,0,4
75,90.6575,90.52422,89.85,89.4,89.9,89.8,88.7,3.513537,3.558297,12.34494,12.66148,85.3,99,13.7,88,89.85,93.2,5.2,95.5,0.626647,-0.43504,0,0,0,0,0,0,4
76,90.715,89.92078,88.45,89.1,89.6,87.3,101.6,8.543844,8.652687,72.99728,74.869,81.1,102.4,21.3,82.05,88.45,99.7,17.65,101.55,0.1634,-1.86838,0,0,0,0,0,0,5
77,78.4975,78.42582,79.2,79.2,79.2,79.2,78.2,2.350371,2.380313,5.524244,5.665891,73.8,82.2,8.4,76.9,79.2,80.25,3.35,80.4,-0.60483,-0.64738,0,0,0,0,0,0,5
78,81.5375,81.3473,80.9,80.5,81,80.8,79.2,3.976914,4.027577,15.81584,16.22138,75.7,90.4,14.7,79.2,80.9,84.1,4.9,86.65,0.481667,-0.51492,0,0,0,0,0,0,4
79,81.1375,80.9998,80.35,79.9,80.4,80.3,78.7,3.383171,3.42627,11.44584,11.73933,75.7,89.7,14,78.45,80.35,83.95,5.5,84.55,0.668538,-0.02492,0,0,0,0,0,0,4
80,78.2225,78.20224,78.15,77.7,78.2,78.1,78.2,1.264217,1.280322,1.598244,1.639224,75.9,81,5.1,77.35,78.15,78.85,1.5,80.1,0.556589,-0.39779,0,0,0,0,0,0,4
81,82.96,82.9357,82.9,83.06667,82.9,82.9,84.5,1.419119,1.437198,2.0139,2.065538,80.8,85.3,4.5,81.6,82.9,84.3,2.7,84.5,-0.06356,-1.50711,0,0,0,0,0,0,4
82,85.7025,85.60176,85.95,85.5,86,85.9,85.8,2.910197,2.947271,8.469244,8.686404,80.1,90.6,10.5,84.85,85.95,87.45,2.6,88.9,-0.54128,-0.46796,0,0,0,0,0,0,4
83,81.68,81.55173,82.2,82.03333,82.2,82.2,82.2,3.211479,3.252392,10.3136,10.57805,75.3,88.2,12.9,79.75,82.2,83.55,3.8,84.8,-0.35254,-0.29345,0,0,0,0,0,0,4
